classification,trade_count,total_volume_usd,avg_size_usd,total_closed_pnl,total_net_pnl,avg_closed_pnl,avg_net_pnl,total_fee,win_rate
Extreme Fear,21400,114484261.44,5349.7318429906545,739110.24849,715221.6145506131,34.53786207897196,33.421570773393135,23888.6339393869,0.7621564482029598
Fear,61837,483324789.79,7816.109930785776,3357155.441642,3264698.4929678454,54.2903996254993,52.79522766252964,92456.9486741548,0.8728864734299517
Neutral,37686,180242063.08,4782.732661465797,1292920.67555,1253546.4072461291,34.30771839807886,33.262920109487055,39374.2683038708,0.8238889806707418
Greed,50303,288582494.72,5736.884375086974,2150129.272951,2087030.5809718317,42.74355948851957,41.4891871453359,63098.6919791683,0.7689068954559898
Extreme Greed,39992,124465164.57,3112.2515645629123,2715171.310673,2688140.64520785,67.89286133909282,67.21695952210067,27030.66546515,0.8916702632714717
