Strategy,Total Return (%),Annualized Return (%),Annualized Volatility (%),Sharpe Ratio,Max Drawdown (%)
BTC Buy & Hold (Benchmark),126.71842983906365,78.82866826829189,45.88309142050991,1.718033066818492,-28.340502293835108
Contrarian Sentiment (L/S),-51.62352613596983,-40.289119446872945,35.42660221812125,-1.1372560992107912,-61.668901198730296
Contrarian Sentiment (Long-Only),12.723386115339208,8.876971028242009,29.517620074575667,0.30073464614743745,-19.963727666754384
Copy Smart Money (L/S),-72.77375034963282,-60.301380996942456,42.41291613345409,-1.4217692744163481,-73.77278123115431
Copy Smart Money (Long-Only),-11.561782732943138,-8.355130600135041,33.40396511207659,-0.2501239170889445,-32.601532323873656
Fade Dumb Money (L/S),-6.543429311732963,-4.691956079255055,22.62853160780743,-0.20734690878643705,-31.272782380657453
Fade Dumb Money (Long-Only),-14.311477429098973,-10.387776183921638,19.55674302605899,-0.5311608466747313,-32.14357173099302
