,pearson_r,pearson_p,spearman_r,spearman_p
total_trades,-0.24524140464293379,5.4310874674332977e-08,-0.0325919926467611,0.4766902306114713
total_volume_usd,-0.2643713973011398,4.208200306364502e-09,-0.05623383658313544,0.2192614779474384
total_closed_pnl,-0.08264200129021727,0.07075058973360354,0.039844129237169096,0.38424657405736784
total_net_pnl,-0.0785575707308998,0.08589163912187679,0.04288904353846883,0.34893806651677056
daily_win_rate,0.0553993130012403,0.25785435300615617,0.067238023700122,0.16951265261300705
